,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Metabolin private topic 2,Metabolin private topic 3,Metabolin private topic 4,Metabolin private topic 6,Metabolin private topic 9,Metabolin private topic 10
671.3518386047365,-4.183956,0.18379922,-0.10259268,-3.972153,-3.889537,1.3574258,1.0401279,2.6160123,0.15355788,0.9667422,-11.692112,-3.809822,-2.0846891,2.157292,-2.5207598,-3.8002052
671.686369461285,-3.705997,0.08154992,0.3505375,-3.911333,-3.4727697,0.9653724,1.1488198,2.4901776,0.7359759,1.0462117,-10.482659,-3.2016056,-2.8069663,2.4385078,-2.531567,-3.0489728
676.0087263541498,-4.1622596,0.053715434,0.6793126,-3.8308976,-3.8162382,1.1335353,0.63986766,2.7038574,-1.5184028,1.2536972,-10.895603,-3.2379236,-3.100756,2.0728433,-2.3152683,-3.611372
676.3440946859712,-4.028513,0.22069246,0.19775775,-3.7790797,-3.7085524,1.3042542,0.43453842,2.6304524,-0.63117903,0.8185002,-10.363498,-3.4235923,-1.3510965,2.2294338,-2.7854404,-3.3773465
676.6770209830461,-3.7317472,-0.62396437,0.8609647,-3.4851325,-3.2036912,1.1900392,-0.35448676,2.9666097,-1.6584044,0.7778056,-8.831875,-3.2419212,-2.2854843,2.1673133,-2.5303488,-3.4085648
685.3596181849049,-4.4622965,0.25856334,0.52274936,-4.2704887,-4.0128303,1.1774925,1.552874,2.4441102,0.25801542,0.9341843,-12.057393,-3.4717226,-2.7703996,2.2744796,-2.2219899,-3.81265
685.6938257835305,-4.326864,0.056470074,-0.06880612,-4.178709,-4.0698295,1.0166479,1.2242886,2.5212317,0.70296526,1.088199,-11.329439,-3.7968383,-0.48850793,2.2385728,-3.2782826,-3.8076286
686.0279313931892,-3.5824385,-0.79558444,-0.69690657,-4.164843,-3.74352,1.0435686,1.606507,2.697547,0.708442,1.1752303,-11.383388,-3.116498,-2.4514847,2.6408124,-3.2829535,-3.565724
686.8496251342218,-0.5232934,0.025814448,-0.22623585,-1.7106156,1.8029326,0.38637823,1.0124387,1.4443713,0.40490168,0.21104102,-8.7080145,1.4593009,1.0768211,0.917186,1.7349762,1.7280171
687.3504403753851,-2.656828,0.28286213,0.016954174,-4.5970855,1.6692736,0.64470863,1.2316784,1.736476,0.54592824,0.4025166,-13.921942,0.9413816,1.1649228,1.0609179,2.1210508,1.2748036
687.8507106093722,-3.7651987,0.2615177,0.1851563,-4.36908,0.8728389,0.96460545,1.2753503,2.2175348,0.46692723,0.56857204,-11.988961,-2.8377376,0.90716124,1.4741173,2.0814128,-3.275071
688.3515765378075,-4.2174907,0.0779962,0.774744,-3.9551866,-3.9002209,1.3513305,0.74319154,2.738097,-0.7156266,0.7854159,-11.428917,-3.75792,-3.5342684,2.0242908,-2.4499679,-3.772628
691.0187258623997,-3.7305212,-1.3260262,0.22387849,-2.9552436,-3.084689,1.8094096,0.3011015,2.7214534,-1.6695988,0.621624,-8.676317,-2.9902058,-3.038982,2.0595694,-2.1417377,-2.954469
700.0348936237547,-4.1109877,-0.023360096,-0.9703703,-3.8996181,-3.0310628,1.0608361,1.4536734,2.482858,0.4258484,1.2045662,-10.971203,-1.9779395,-1.5771662,2.3224905,-2.981622,-3.251675
700.7031875343506,-3.4414687,-0.57302046,-0.12458504,-3.91701,-3.65179,1.1562039,0.925604,2.624493,0.79089355,0.95917356,-9.195411,-3.0240881,-2.618558,2.411977,-2.1500888,-3.0413477
706.1323636420491,1.2929211,-3.892463,-4.5676847,3.4919343,-2.0215511,-4.2710614,-0.96911764,-3.9395375,-3.6338503,-4.4237375,4.3631897,-3.0871139,-1.5372629,-3.843779,-3.162076,2.8261693
707.130415769561,1.496811,-3.7924433,-4.382799,3.5401766,-2.113641,-4.080483,-3.5395396,-3.6102068,-3.534336,-4.099796,4.5683174,-2.1388693,-2.9762344,-3.3944666,-3.0868826,2.9239426
708.8632285375837,-0.29009798,0.035067465,-0.2318906,-2.9703062,1.795479,0.40108827,0.99734014,1.4670041,0.32019538,0.1759258,-10.177532,1.5598958,1.0716373,0.9024161,1.8294436,1.7493172
709.3630779129818,-1.2203655,0.13389315,-0.050820872,-4.430228,1.6958237,0.611082,1.0960236,1.7103453,0.42724928,0.3952892,-13.727207,1.1005911,1.125809,1.1027404,2.0276718,1.4199568
709.8640888724873,-4.539208,0.3657777,0.23639196,-4.7180405,0.93259495,0.9897484,1.3122671,2.2105885,0.58455116,0.6616393,-13.1822815,-0.034753237,0.90701246,1.4989711,2.1091158,-3.4078305
710.3643860557818,-4.263457,0.53592473,0.08041244,-4.023397,-3.536946,1.4023014,0.873886,2.8107982,0.02139538,0.31088108,-11.79909,-3.2497218,-3.3506324,1.880868,0.59164107,-3.4547086
714.7102193079945,-3.5895646,0.15069568,0.86780125,-3.4212964,-3.3232765,1.1996291,1.2849292,2.2619631,-0.45950568,1.3234277,-9.44791,-3.1403248,-1.1261449,2.6242433,-2.5786402,-2.5986972
715.0445821791457,-3.6578634,-1.2057471,0.45361167,-3.5996752,-3.3845997,1.4909128,-2.3688712,2.8060718,0.30257946,1.3212191,-9.699035,-2.9050653,-0.55674005,2.4386826,-2.7034621,-2.919014
730.8767630007383,-0.23187646,-0.055223655,-0.23304734,-0.8475541,1.6540794,0.33970457,0.95597565,1.3692778,0.23211981,0.18129173,-6.833961,1.4368132,0.9827923,0.8482545,1.720238,1.6663533
731.3768159003127,-0.90001315,0.124435276,-0.07545067,-4.3097963,1.6976193,0.56660783,1.0469725,1.6370579,0.36869073,0.2772756,-11.72909,1.2894062,1.1120497,0.9934519,1.9986694,1.4382962
731.8771190384252,-4.283872,0.41837156,0.23434371,-4.5396276,0.973543,0.94190836,1.3442612,2.1810293,0.44291493,0.62787646,-13.487907,-2.9219866,1.1096488,1.4324075,2.2226677,-3.089819
732.3776301809983,-4.463406,0.18173432,0.5204257,-4.1923203,-4.012587,1.4259715,0.9504074,2.6598377,0.060820617,0.79275393,-12.297098,-3.7501159,-3.3570077,1.9381425,-1.9262236,-3.8818417
752.8898617937245,-0.12524873,0.01932152,-0.23961845,-1.5349088,1.7719156,0.43096384,0.9775757,1.4791971,0.34330085,0.21394028,-7.208751,1.5548736,1.08568,0.93943137,1.7623096,1.6355791
753.389508370205,-1.5463816,0.23593535,-0.023953486,-4.622653,1.6736077,0.5492966,1.1094735,1.6876636,0.43018007,0.33712485,-13.539911,1.3391225,1.1177856,1.0284628,2.0015743,1.2542735
753.8900434182241,-4.5674934,0.4484586,0.22873452,-4.479379,0.8523538,0.99706966,1.2760922,2.187904,0.32771948,0.67656493,-13.0753355,-3.1200264,1.0726793,1.4256554,2.1844478,-3.0721183
754.3906651160707,-4.3357124,0.38960397,0.45798564,-4.0185413,-3.6952527,1.4185416,0.79704714,2.6770096,-0.43310282,0.7191531,-11.554239,-3.7147639,-3.0197656,2.021857,-0.4340136,-3.789138
774.9021119012651,-0.2919916,-0.04261184,-0.20332429,-1.5543638,1.6661835,0.4030462,0.9628209,1.3856872,0.22169971,0.176247,-6.0389633,1.4852978,0.9977312,0.87164253,1.669097,1.5882123
775.4027308716969,-2.1445038,0.19562532,-0.10785238,-4.6273212,1.7187927,0.5736672,1.1694959,1.7032065,0.4507454,0.40396723,-13.205962,1.2966381,1.1513306,1.0974792,1.9880486,1.2572684
775.903432460491,-4.554712,0.42855048,0.2125263,-4.511596,0.9252295,0.97027355,1.2934126,2.1550076,0.44015163,0.65764797,-12.902525,-0.77694297,1.0609759,1.4319355,2.024335,-3.265561
776.4039661244722,-4.406281,0.050243977,0.5600066,-4.162274,-3.5192523,1.459309,0.8860141,2.6743295,-0.4336582,0.90410095,-12.238676,-3.3459783,-3.350625,1.9028972,-1.3952574,-3.8509536
796.9161402359701,-0.545226,0.0864352,-0.12702204,-4.1868486,1.7339131,0.4879431,1.0582627,1.5230287,0.35228527,0.30157027,-12.053084,1.5604888,1.1232486,1.0456585,1.8987802,1.5211949
797.4154612314934,-1.1896453,0.19687182,0.05413989,-4.3439465,1.6551588,0.62231123,1.171296,1.7602472,0.4510883,0.4253535,-12.9756975,1.162421,1.2048745,1.188492,2.0973358,1.1245978
797.9165098916963,-4.438562,0.42489737,0.22627388,-4.575413,0.9130663,1.0553833,1.3697828,2.2873824,0.36472875,0.6695345,-12.892096,-0.437533,0.9119878,1.484352,1.9875484,-3.4614248
798.4169615560422,-4.341221,0.06553662,0.5535891,-3.9593518,-3.8232489,1.4502596,0.98595333,2.5591807,-0.6804155,0.90147024,-12.21954,-3.9270828,-3.0375059,1.9429471,-2.9679368,-3.7306345
818.4274786359504,-0.3305799,0.07313205,-0.14529131,-3.455727,1.7479541,0.44843954,1.0129471,1.5323439,0.35015824,0.25926802,-11.027787,1.5753124,1.1091443,0.9786261,1.7769141,1.5506878
818.9283439183455,-0.6177169,0.07920242,-0.113467425,-3.8233047,1.7226213,0.5021644,1.0292608,1.6115348,0.31950533,0.3073955,-10.598255,1.3592552,1.0653936,0.97417873,1.9112461,1.4170886
819.429132422968,-3.9836233,0.26071835,0.12549232,-4.5622163,1.5831882,0.75914353,1.1481986,1.8440764,0.4267498,0.50106376,-12.707445,1.1542399,1.2529339,1.2167443,2.1610851,-0.17799181
819.9296502201292,-4.6313524,0.35282683,0.3465567,-4.662887,0.6119263,1.0229422,1.1896544,2.1971922,0.22962643,0.6856037,-13.195053,-2.6516852,0.70925677,1.5459234,2.0531547,-3.5949461
820.4302987687867,-4.203489,0.1772268,0.627143,-4.114834,-3.9730365,1.5075568,0.82399666,2.745788,-0.7987502,0.7739021,-11.902018,-3.7910407,-3.6899478,1.848127,-3.00441,-3.732401
841.9426105287413,-4.383102,0.42883232,0.47883558,-4.467302,-0.112786055,1.1875012,1.2718167,2.4223278,0.10966102,0.7675931,-12.3621435,-2.0885606,0.6557019,1.6450322,1.7377063,-3.710977
842.443289935428,-4.1303163,-0.12366785,0.62255824,-3.8900886,-3.8176577,1.5876956,0.4281651,2.8596685,-2.2899194,0.856257,-11.349983,-3.6482232,-3.6502898,2.1501477,-3.47562,-3.699126
855.7394047398545,-1.5339715,-4.154021,-3.7943668,3.9438868,-1.1869103,-3.5546966,-3.6929045,-3.6224904,-3.9496138,-3.9855103,3.447307,-2.9234939,-3.3174322,-3.5247529,-2.3815556,2.0593212
864.4566041414442,-3.9598904,0.24887468,0.7704633,-3.9335458,-3.7859344,1.7449831,0.54059297,2.648708,-1.2889866,0.9026845,-11.3176985,-3.5286267,-3.4466918,2.1265101,-3.2315578,-3.5706756
874.7845865062392,-1.302986,-3.9523976,-3.4521205,3.9070625,-0.9028917,-0.80412954,-3.9902363,-3.7353394,-4.3065104,-4.0863333,3.700197,-0.5702485,-3.557725,-3.9052527,-1.0849131,1.614292
876.7994265118355,-1.5713769,-4.1166143,-4.3366256,3.8749151,-0.8593937,-3.5010293,-3.9644806,-3.7641509,-4.3090377,-4.3011994,3.9910288,-2.4770439,-3.4557564,-3.8888013,-1.9748324,1.7654274
879.7397730424627,-0.896808,-4.5636954,-3.3110118,3.8081474,0.90761626,-3.1019757,-4.4781485,-3.7763655,-4.778303,-4.7037945,4.0337157,-2.1370192,-3.7677116,-4.282052,1.1033176,1.8408037
880.7436150035622,-1.8753775,-3.9793642,-4.3236494,3.9786754,-1.1767325,-4.0632687,-3.8982713,-3.399721,-4.20405,-4.1080723,3.9740777,-3.2843807,-3.443041,-3.7135468,-2.2115974,1.834159
882.7588778658212,-1.4794188,-3.647063,-3.9753623,3.884303,-0.24607942,-3.8583648,-3.7941077,-3.65997,-4.2008705,-4.0871663,3.5382118,-2.5986073,-3.164795,-3.706536,-2.1741834,1.6028657
886.469730388757,-4.0661387,-1.6202023,0.79878294,-3.9790416,-3.4940479,1.7808092,-0.69501144,2.734219,-1.4060767,1.4307986,-11.110872,-3.064587,-3.476342,1.9557134,-3.0518758,-3.3022213
902.81480752945,-1.755443,-3.7095335,-4.0978513,3.8048398,-0.66853845,-1.2908756,-3.80881,-3.6370678,-4.080572,-3.968384,3.894106,-2.3222346,-3.3974063,-3.592047,-1.6180831,1.8541348
905.7553324984265,-1.8381648,-4.006275,-4.565779,3.8500369,0.0032219908,-4.0094748,-4.1364565,-3.7163744,-4.495346,-4.3070908,3.462696,-2.9430923,-3.52845,-3.9613972,-1.4433024,1.9821528
906.7590834625811,-1.8476725,-3.9650757,-4.0192356,3.7422068,-1.2244927,-4.044431,-3.7010925,-3.3559284,-4.046427,-3.8794215,3.9345403,-2.7813048,-3.3825116,-3.6573856,-2.4986067,1.5800116
907.7703952060843,-0.9534792,-4.2231565,-4.826375,3.8109446,0.7713025,-4.6040897,-4.285246,-3.9771597,-4.630552,-4.517232,4.270505,-2.3434856,-3.5054462,-4.156475,-1.9174027,2.0477602
908.4830134545888,-3.7221792,0.23986657,1.2966139,-3.5656848,-3.2863717,1.8015567,-2.7824676,2.559947,-3.052235,0.9365825,-9.953068,-3.0387373,-3.3191433,1.125776,-2.6415458,-3.3060563
908.7745114487701,-1.8040396,-3.893223,-4.3959765,3.8975842,0.070235886,-4.024321,-3.7956305,-3.5488591,-4.109246,-3.99096,3.8912117,-2.6967978,-3.4339235,-3.6048775,-1.5292299,1.730016
929.9953015752143,-4.2477055,0.30498102,0.9090793,-4.228718,-3.9257424,1.5961138,-1.1259501,2.7040148,-2.2069314,1.1768581,-12.15084,-3.6019464,-2.6194644,2.2000353,-3.280393,-3.93781
952.0085148819553,-4.175051,-1.0122916,0.8551358,-3.8559616,-3.7805068,1.6870571,-0.23558268,2.7656298,-3.1548882,1.4372898,-11.540243,-3.5013998,-3.5537639,2.250017,-3.5644,-3.726406
973.5207398593361,-4.0181746,-0.18512532,0.84711915,-4.0812025,-3.8820474,1.6984183,-0.24230547,2.6820762,-0.61633235,1.2957027,-12.044643,-3.683459,-3.0936744,2.0955508,-3.3811672,-3.9971766
974.0216424123246,-3.8413048,-1.755305,1.201104,-3.6535707,-3.5463054,1.8098656,-1.2405491,2.6574774,-3.6583197,1.6046597,-9.957034,-3.2484014,-3.130833,2.1496005,-2.8638458,-3.4169633
995.0330679869421,-4.1232295,-1.1674322,0.86729485,-3.9611208,-3.9023488,1.7622412,0.12473213,2.7962043,-2.8807976,1.1611389,-11.543068,-3.6721125,-3.526269,2.2651465,-3.5419028,-3.6780849
995.5339872845539,-3.9869273,-0.9377696,1.1556345,-3.7488914,-3.456744,1.9091402,0.89988494,2.2746294,-2.851116,1.1798748,-10.114737,-3.2720408,-3.5642745,2.2380102,-2.4315112,-3.177099
88.04038948230482,1.8671896,-0.7418912,0.55114144,2.1454828,0.8697701,0.058629677,-2.5843942,-3.8481314,0.15324946,-0.13671647,4.416952,2.2480917,-0.22633208,-3.7473686,-1.6326681,0.017072702
96.9222867837585,1.8265066,-0.3542549,-4.8907266,1.9471335,-3.3307476,-2.5595255,1.7209722,-2.5046449,1.3276722,0.43589437,4.219004,-1.3310183,2.2501752,1.592974,-3.4329486,-1.1959828
108.90216723266548,1.6345809,-0.773276,-3.3917484,2.0976188,-0.4242472,-1.0606147,1.1506753,-0.05774341,0.6664761,0.12531044,4.070792,0.7618827,1.5721371,0.9792566,-2.770105,0.8330432
110.89905292095045,1.6805654,-0.8953582,-4.3575463,2.1199212,-3.3615386,-1.9080571,1.4814787,-0.8277621,1.197934,0.45640883,4.038194,-1.1101217,2.0686965,1.4283718,-3.696931,-0.5417784
111.0200149747156,1.3452393,-4.1993995,-0.03766569,1.9169115,-3.941279,-2.230435,0.93112093,-3.864592,1.8822232,0.40754184,2.6297092,-1.4688544,2.522118,1.4914236,-3.5382116,-2.725804
118.0228939088949,1.6819607,-2.9473574,0.06945732,2.1209478,-2.7241535,-0.6236572,0.13382728,-2.8312752,1.7021368,-0.037827525,3.0573106,0.9444011,1.6376628,-0.31408247,-2.821775,-0.8864955
125.00134359200638,1.709805,-1.6888647,-1.5152537,2.1478417,-0.1521204,-1.500943,1.1400491,-1.8187884,0.88526446,-0.11265815,4.354962,0.6880384,1.7320962,1.0962209,-2.1436713,0.901367
126.99838427140018,1.5326314,-4.0705976,-3.9438043,1.1364241,-3.9891021,-4.145662,1.7022302,-3.9277146,2.6079042,-0.57136947,-1.1126127,-3.5952652,2.7798724,1.826984,-3.7095282,-3.1020699
130.06243457097617,1.9468094,-3.5915008,0.51571816,2.0866258,0.44913828,0.1573198,-4.3482356,-3.3106573,0.33292308,0.058773603,4.601715,1.9866692,0.7081768,-3.151208,-1.461636,-0.272804
139.02313448504393,1.2766017,-0.43458995,-0.7149324,1.895135,1.1288322,-0.38047558,1.0948436,-2.7809093,0.65035844,-0.4868128,4.085728,1.7228515,1.4713033,0.76655805,0.47974506,0.11014441
142.99868975070655,1.9410682,-3.420057,-0.50476253,1.3388805,-3.5418208,0.7054391,1.394318,-1.3464632,1.1315969,-0.81469405,1.0166576,-2.6441777,2.4374137,1.1643906,-3.2415066,-2.9237492
150.88684917028493,1.8097377,-0.2703114,-4.9605474,1.3436866,-4.3019614,-4.156257,2.044334,-3.56006,1.689633,0.52046174,2.1387644,-3.8867767,2.534986,1.8706834,-4.100774,-2.4402578
152.884037473799,1.8062721,-0.43755686,-5.028969,1.3190831,-4.255673,-4.1555433,2.1459105,-3.3250375,1.7890737,0.66538346,1.8333647,-4.117415,2.6357832,1.9915429,-3.863333,-3.1750414
154.06243273088305,1.8745731,-1.8880905,-0.46004394,2.0401962,0.6168335,-0.3785612,-0.37435192,-1.9347206,0.85739744,0.030424578,3.94847,1.5102516,1.5320046,-0.08706773,-1.7349371,-1.5777194
156.92541498590168,1.7870432,-1.1998174,-1.1527478,2.3971677,0.13691907,-0.549032,-0.27702504,-0.39806038,0.329143,-0.5399882,4.855714,1.3834485,1.1010133,0.10334955,-2.4367557,0.80342954
168.043215974591,1.9317979,-2.6137953,1.9327232,2.6563256,-1.2229272,0.72236013,-3.281568,-3.5764983,-4.084803,-2.6021354,5.7660093,1.9219812,-3.0323198,-3.56867,-1.3496909,0.042851094
170.9024289952744,2.2346094,-1.7249477,-0.37579885,2.5973542,-1.9347235,-0.15396549,-3.3214235,-2.9433868,-1.1941108,-0.27916765,5.554222,0.5480426,-1.4030493,-2.8660715,-2.99399,-0.21926565
173.00938539915737,1.8647197,-4.027501,-0.83809143,1.4322258,-3.2944138,0.23343162,0.7871351,-3.5212162,2.0498035,-1.5360546,-1.2103071,-2.133239,2.5544343,1.0777344,-3.0592258,-2.3678637
176.02838560193672,1.2222371,-4.604695,-0.13753186,2.8501155,-4.1091905,-4.531744,-0.9896545,-4.1056213,2.1179473,-4.7480116,4.7534456,-3.662632,2.1274252,1.1096691,-3.5905485,-2.1647177
177.90594518143388,1.8261019,-0.19344755,-4.210717,1.9475893,-2.0550988,-3.9279008,1.627742,-1.2333248,1.2131655,0.44423184,3.8437514,-0.07849448,2.111471,1.4349155,-3.0960221,0.3108793
179.9028414094079,1.5593932,-0.075706765,-4.5612597,1.2404283,-3.7972033,-3.9462,2.0441403,-3.8762603,1.7990719,0.3288309,1.5987926,-2.8092844,2.5742993,1.833418,-3.8443751,-2.835093
183.01622524361176,0.9579044,0.43582428,-2.8750327,1.8517084,0.57847667,-4.1984434,1.3456484,-2.54903,1.829603,-1.4395977,3.4851606,1.3290874,2.150322,1.1002263,-2.2222164,-3.3105307
183.96314896731928,1.9341291,-1.5655149,-1.3714082,1.8873713,-3.809093,-2.7186387,1.1848289,-1.9124318,1.4445745,0.35732096,2.2090251,-2.5883083,2.166574,1.2108005,-3.5831168,-2.4636555
187.00169540760507,1.5789979,-0.35945466,0.090516634,2.4431963,0.7863691,0.07389931,-1.2700906,-2.254347,-0.4201565,-0.6889846,5.1751704,1.996566,-2.2000847,-4.193134,-0.4130508,-0.12104075
188.04567146893132,-2.1871967,-3.3963861,-3.8904264,-3.0725496,-3.9494483,-3.7588565,0.23127626,-3.5702791,3.2963932,-3.6556442,-6.4590535,-3.104936,3.0485914,1.4498284,-3.4795341,-2.9903204
188.06161420969258,-0.29312524,-4.0352902,-4.5742617,-3.182163,-3.7780333,-4.2717495,1.8553624,-3.764298,3.056974,-2.4204564,-2.9269419,-3.5159829,3.1618173,2.3745298,-3.754313,-3.6580377
