,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 9
85.02883948530474,-4.5341806,1.918685,2.2435606,-3.5984561,2.506407,3.532232,-5.6016226,-5.3796635,-5.4616513,3.315422,1.2163646,-8.227666,14.337801,-3.4301841
95.06068721922534,-5.2477226,1.6821138,4.053656,-4.321471,-4.5874515,2.206772,-5.7513165,-3.6940086,-5.1172404,3.0894206,-1.2040702,-7.8809495,12.487267,-3.3747892
104.10721613216346,-1.2087631,1.6588402,3.9978416,-1.0299969,1.1593722,2.808689,-0.7569662,-0.84109175,0.31332245,2.388217,1.1660869,0.9271492,16.50357,-0.7267256
114.0663487757167,-5.476785,1.7997519,4.0191464,-4.3851714,1.5260797,2.9224746,-4.3571525,-5.4672904,-5.597207,2.5520127,-0.45018128,-8.664975,17.455036,-3.3200514
119.08989347482412,-4.364306,2.0389175,2.9266474,-3.918296,2.2828922,3.3104281,-5.8378177,-5.429063,-5.575277,3.2782202,0.10988058,-8.305256,16.760906,-3.3642578
120.10201086819092,-4.672424,-0.33707014,-2.898531,-2.4747982,2.942605,2.8163185,-5.5156183,-5.0581107,-4.7705593,3.6042562,2.9521239,-3.384808,7.6935287,-2.4457982
126.02200299722656,-3.621739,1.3745214,3.1759589,-3.7053595,2.492442,1.0536515,-4.9698167,-4.1138754,-1.2031369,3.7648056,-0.42977569,-6.847678,10.7163725,-3.1053774
127.02700210702301,-3.1977694,1.7930093,4.3209295,-3.7834299,1.1909388,1.2478489,-4.738753,-4.5337267,-4.1949162,2.1400797,-1.0118644,-6.5423903,14.612709,-2.6446586
130.08648087626347,-2.3039904,2.0327117,4.3072367,-3.3206885,1.9880273,0.03372478,-4.0011554,-4.5244985,-4.4357467,1.9084316,0.42539567,-6.612379,13.508293,-1.310392
138.05260963693527,-4.947573,1.7320706,4.365448,-4.072461,2.202445,1.9582367,-5.34717,-4.923035,-4.809374,0.866686,-1.0753388,-7.664587,16.880041,-3.0388591
141.07147334429604,-4.8558226,1.6684479,3.895935,-3.7475753,1.8120742,3.2474165,-5.982774,-5.422891,-5.5350566,2.8636107,0.33434665,-8.261918,18.259817,-3.3329751
142.94804145265775,-5.2143373,1.0762882,4.279832,-4.6063285,1.5245008,1.4539899,-4.4166417,-5.095534,-4.660204,2.3859878,0.501192,-7.8669214,15.499598,-3.0445447
146.16516858340012,-1.0737936,1.9831812,2.4409935,0.41356653,1.7887741,3.2361834,-5.0793676,-3.159172,-1.3471859,3.0436306,1.642399,-2.5913913,16.402763,-2.2633803
150.97673966710036,-3.5044672,1.5034221,4.178467,-4.5300007,1.8038224,2.6426833,-5.2325287,-5.203567,-5.3704243,2.1741574,-0.4154191,-8.474563,16.771553,-3.4285924
152.04718107340682,-3.646923,1.3754369,4.2511992,-4.0409236,1.6008222,1.984846,-5.41213,-4.7983184,-4.5554075,2.33838,-1.346481,-7.16477,15.234158,-2.8733857
156.07691831543409,-0.95536375,1.2087938,4.071216,-3.08489,2.2732348,2.4072976,-5.4047117,-2.5579016,-3.2332206,2.4047928,0.83760726,-5.0689874,16.023884,-2.3227587
157.04607935405934,-4.900787,1.0259833,2.778274,-4.257969,2.7630205,3.0252903,-4.785727,-5.136962,-5.2116766,3.4445226,-0.97777164,-8.342623,13.476677,-3.4012792
158.04032672175362,-4.9987173,0.91470563,3.3052962,-4.310649,2.4914868,3.2064724,-6.0138245,-5.370805,-5.6617985,3.3492217,0.24594663,-8.844314,16.586899,-3.8331027
159.16856324044997,-5.119048,2.6197677,4.4109836,-4.346582,-3.4673007,-1.6325485,-4.8612165,-4.91057,-5.0035977,2.005499,-2.7115235,-7.792189,7.9635973,-2.502171
160.13314159280725,-4.9923034,1.7204381,3.6469991,-4.1817513,1.9231554,3.1120605,-5.4067783,-5.4429846,-5.6160727,2.9456244,0.7855745,-8.619533,17.539429,-3.408189
163.97769453157306,-5.2088017,-0.504976,4.002237,-4.7820435,1.8602533,1.9566212,-5.63516,-5.269806,-4.904631,3.297538,-0.6216647,-8.4289875,16.475517,-3.6290653
164.00826925149738,-1.3392035,1.1936138,3.784273,-3.819497,2.2218945,1.6073358,-4.341099,-4.1695843,-1.0342032,3.304743,0.03566447,-5.2057343,13.868874,-1.577287
164.11679986249476,-5.005611,0.8627787,2.4357426,-4.112553,2.7827675,1.7937349,-5.467419,-5.0118704,-5.365545,3.9555452,-0.4725243,-8.30855,10.932896,-3.0978994
164.93001813169528,-4.3433805,1.4366885,4.586498,-3.5723786,-2.2127078,-2.000318,-4.491054,-4.03896,-3.9417076,-1.1527209,-1.9923233,-6.272127,8.777513,-2.596409
167.03134892372694,-5.2525578,1.585346,3.2529387,-4.2718244,2.272237,3.4832768,-5.8594637,-5.510051,-5.614391,3.124125,0.876507,-8.803652,17.011845,-3.4302638
169.98583471858657,-4.8194118,1.4347433,4.1539645,-4.664937,1.4696648,2.0943446,-2.8760695,-5.3456035,-3.0619771,2.9336097,-0.75582284,-8.118658,16.772326,-3.4897614
181.06253357277816,-3.7127638,1.1506708,4.190257,-1.3460413,1.3817127,2.4749112,-5.0177145,-4.2530203,-4.6675243,2.255918,-1.4114366,-6.632025,16.493004,-2.8616526
184.07346765759067,-1.8170501,1.6793923,2.5071836,-3.9425735,2.8104935,2.6498876,-5.7782416,-4.523152,-5.003344,3.4510698,0.113227025,-7.4486594,12.967489,-3.125672
185.05740413292418,-5.0558987,0.7928531,4.1813593,-3.7645512,1.0285883,2.5850792,-5.703065,-4.9750304,-5.0763416,2.4194508,-2.0137303,-8.077398,16.638634,-2.9467583
185.95976571022555,-4.467292,-2.3477135,4.177308,-4.189915,1.687936,-1.4130237,-5.0741467,-4.401864,-4.7606926,3.711108,-1.5580177,-7.113805,13.478741,-3.228376
185.9903670258029,-4.6856275,-0.07339307,4.1192446,-4.45327,1.9280874,1.5693266,-5.005004,-4.768707,-3.810974,3.125265,-0.8619545,-7.285509,14.821494,-2.8304224
188.0766250994236,-5.0363493,0.9785622,4.112912,-3.3460336,0.7868822,2.6344473,-2.7221806,-4.8421307,-4.608619,2.5622408,-2.188548,-7.7922106,16.786312,-2.1365507
189.0714434682931,-4.491534,1.0253022,4.0852222,-2.5346272,0.8362737,2.5513968,-5.0928273,-4.878595,-4.9194865,2.661807,-1.131933,-7.2285147,16.442577,-2.1490092
195.0419453058757,-4.737685,1.1361194,4.1528883,-4.229858,1.7606349,2.2703424,-5.6225247,-4.877599,-5.0606613,2.6632628,-0.701705,-8.177351,17.176975,-3.2944517
195.06271277531698,-3.8681633,1.9022664,4.187454,-4.2360463,1.3009624,2.6926012,-4.9112983,-4.646089,-4.997254,1.6923138,-0.88724136,-8.113046,16.8168,-2.9970098
197.05746415042407,-4.27977,1.3401158,4.2937756,-4.096225,1.3335637,1.4157277,-5.326097,-4.648274,-4.9244723,2.6043034,-2.7124577,-7.7839193,16.17558,-2.8990278
199.07325281002025,-3.9396803,1.5006821,4.4202986,-3.4455802,1.6976211,-0.3530327,-4.587901,-4.1151857,-4.2950077,1.566666,-0.06677719,-7.061518,14.939437,-2.6090987
202.066501544518,-5.4398446,0.22783406,3.2654119,-4.8016305,2.4604683,2.6832411,-5.893618,-5.5988593,-5.710811,3.698241,0.20502572,-9.050789,16.130077,-3.8228745
202.09219427994782,-4.276913,1.0465329,4.179229,-4.1847515,1.4256284,1.9816566,-5.7774787,-5.126264,-4.919826,2.8202126,-0.5483284,-7.8311934,16.729923,-2.4387124
203.08696082268418,-4.627541,-0.18803705,4.222928,-4.029955,0.5814543,2.2444606,-5.096137,-4.414633,-4.535072,3.0449097,-2.13045,-7.603835,16.504457,-2.9394846
205.06005018215913,-5.270382,2.0177906,4.2676554,-4.4687285,0.21192466,2.573727,-0.8715117,-4.810533,-5.378353,1.7627984,-1.8566974,-8.609988,15.756501,-2.7878287
205.12064445969258,-4.1536865,1.9632226,3.7665384,-2.870567,2.0474339,3.1891046,-5.7943754,-4.584527,-5.1381483,2.654412,0.59799284,-7.3819714,17.243431,-2.6604543
206.05539519878883,-0.6988205,1.7822251,3.4422586,-0.6019957,2.1455097,2.9652398,-5.700566,-2.4915905,-2.1682029,2.7815635,1.7635124,-3.5955486,16.172958,-2.426584
206.1275855995987,-4.3019333,1.8965466,1.2374097,-3.8247316,2.5560575,3.4687915,-5.7626276,-5.372831,-5.4234376,3.4774551,1.5356133,-8.325762,11.860365,-3.3691938
209.09389973284416,-3.7788575,-0.049343757,4.140156,-3.5544925,1.8327804,1.5273465,-4.9201155,-2.8996043,-4.2508326,2.7639651,-1.1472738,-6.650585,15.220797,-2.7022526
211.07315270468837,-4.8216624,1.3306292,4.2868085,-4.5388646,1.7122862,2.1785195,-5.748981,-4.899823,-5.2785378,2.4903855,-1.6069502,-8.290633,17.11474,-3.09437
214.05565761455762,-3.6544836,1.2465662,4.1986284,-3.5200279,2.0409493,1.3953434,-5.1276307,-4.462655,-4.3848615,2.4722955,-1.5179462,-6.8613014,16.175804,-2.7083383
215.06810475732192,-3.3098462,1.6628784,4.0233436,-4.3067446,1.6758541,2.7538736,-5.7204714,-5.371574,-5.368311,2.579223,-0.5249367,-8.3302555,17.086088,-3.1633503
218.05051074472152,-4.1923237,0.93113625,4.3059297,-3.7511513,-1.3584601,2.20274,-4.5132465,-4.636677,-4.3702,2.4557874,0.8976807,-6.9795027,13.667892,-2.294104
221.18619238088982,-4.7207336,0.5094546,3.1330943,-4.180418,2.142787,3.0355055,-5.181437,-4.9192433,-5.040422,3.755246,-0.7070291,-8.074821,12.75558,-3.1525893
222.02929539630048,-2.820089,0.27461433,1.9819492,-3.8878567,3.5623944,1.3817849,-5.00463,-4.864379,-4.7310762,3.3769855,-1.1613392,-7.626848,4.678122,-3.3286645
222.1963781206182,-4.6290903,1.6740396,3.7973366,-4.104586,-2.803146,2.293721,-5.111661,-4.6373844,-4.8684697,3.6164582,-0.7764507,-7.4023504,13.59193,-2.9410565
223.10945238689277,-3.31492,2.1381266,4.115933,-3.4120176,1.968389,1.7917463,-5.1796675,-4.1890926,-4.333686,2.4572148,-1.7976971,-6.9389496,16.374939,-2.4270751
227.06803885421309,-4.407894,1.328021,4.252891,-4.3518085,1.5665134,1.6254611,-5.4009247,-4.7917457,-4.9790177,2.546618,-1.7601119,-8.02014,16.964401,-3.311701
228.2264048730009,-4.9175735,0.91583693,4.550506,-4.5070286,-4.035372,-3.2807114,-3.905471,-4.9807267,-5.077517,-3.4797637,-4.0613184,-8.15765,3.2847252,-3.2690048
231.06294028159982,-4.5308805,1.0583252,4.20499,-4.125148,2.049638,1.8427732,-4.9882936,-4.7962027,-4.650413,2.8210697,-2.0364623,-7.633677,17.370941,-2.598339
233.02111811266192,-4.875531,0.39507723,4.241953,-4.567858,1.0774279,1.4488705,-4.730971,-4.7058945,-5.0759096,2.8297753,-2.2779238,-8.442989,16.317707,-3.1707263
234.0818681659536,-4.2008657,-2.3126647,4.1152534,-3.591618,1.5358338,2.4193687,-4.588766,-4.3725286,-4.2465568,3.1388464,-1.1387762,-6.426875,16.214678,-2.5466452
241.02950206629706,-4.489953,0.8749669,4.5502505,-3.9820466,-3.4069982,-3.0198028,-4.1275396,-4.4848585,-4.2779784,-3.57033,-3.0270736,-7.038068,-1.4518886,-3.1725473
241.0473618927395,-3.9161534,0.47159058,4.3279905,-3.6148129,2.1796083,1.7135813,-5.2343535,-4.514987,-4.5405273,2.4937313,-2.2929664,-6.778034,13.852043,-2.5785887
243.0829710976259,-4.5527678,1.8168004,3.8386679,-3.8625863,1.841584,3.077685,-5.9861183,-5.4940066,-5.3200755,2.8611836,0.9922456,-8.175451,17.831808,-3.0324173
243.09931152472012,-4.563098,1.5566598,4.083652,-3.9479485,1.3590431,2.7736578,-3.5324023,-4.3999233,-4.4027915,2.6484935,-0.435161,-7.5853786,17.190662,-2.456456
244.07724123305323,-5.4070277,0.8661653,2.247802,-4.513438,2.7618208,3.2491937,-5.692178,-5.4731274,-5.5160484,3.6197505,0.1277019,-8.986334,9.467272,-3.8015707
247.09425491750557,-4.033459,0.7392711,4.110185,-4.228218,2.1324706,2.1108108,-4.986664,-4.7499166,-4.810648,2.8965008,-1.4026641,-7.72398,17.569952,-2.685735
251.10447077523585,-4.2746553,1.0432805,4.14997,-3.8679276,2.3489504,1.5873903,-5.2484303,-4.3914714,-4.612326,2.8384185,-0.7887915,-7.2736154,16.76168,-2.92346
253.08364230631653,-4.8278613,1.1183249,4.1707077,-4.4235463,1.8160166,2.2618437,-5.712261,-5.2014136,-5.3618374,2.9209135,-1.6374931,-8.440544,17.26453,-3.3411744
254.13623336117078,-4.9390397,0.8644784,-3.0990121,-4.2054534,3.7938268,3.5076919,-5.20829,-5.116924,-5.0789986,0.9315834,-1.1618767,-8.556032,6.0323076,-3.1022806
255.09915080142363,-3.5044703,1.6408305,4.022113,-4.182116,1.5940843,2.6846445,-5.4842825,-4.803406,-5.050095,2.5596092,-0.3900097,-8.132592,16.711477,-2.9985106
255.1356014347429,-4.6815214,-1.3345032,4.4349356,-4.0396485,-2.211166,0.23064859,-5.064073,-4.6484027,-4.288482,2.550363,-2.8187494,-7.414298,13.751406,-2.6074424
261.05228436757915,-4.2769384,0.31331974,4.268575,-3.738759,1.615256,1.7737283,-4.9828267,-4.554183,-4.3777986,2.7991028,-0.6757984,-7.1476393,17.166742,-2.562786
261.07334112304517,-4.373214,1.1043701,4.0061626,-3.9960177,2.0765607,2.2012918,-4.9340086,-4.858598,-4.782252,2.944972,-0.19306296,-7.1536236,16.826906,-2.7019696
261.10966185035926,-4.3842025,1.7689277,4.053017,-4.1185536,1.8110074,2.6706507,-5.1521845,-5.2030025,-5.116451,2.4865603,-0.17973189,-7.9800053,17.643915,-2.7046728
265.11993582059335,-3.7945104,1.3376154,4.021532,-2.8152902,1.9131926,2.84281,-4.9301834,-4.249386,-4.507371,2.3326845,-1.7484937,-6.495431,16.801819,-2.768563
267.09922367205917,-3.5246294,1.467691,4.105889,-3.8196182,1.5969898,2.5836701,-5.6581707,-5.171635,-4.99329,2.7128441,-0.09365472,-7.771598,17.392963,-2.98223
267.1355665990693,-4.40885,1.1720439,4.2216067,-4.184953,1.6108456,2.0542152,-5.4839616,-4.5986013,-4.7521944,2.6136878,-1.2743975,-7.554521,16.807858,-3.0771825
269.114922695292,-5.0888743,1.0572374,4.2284365,-4.3450165,1.5499945,1.9545063,-5.7567005,-4.512956,-5.1266665,2.8307552,-1.7730371,-8.288795,16.840763,-3.1469758
270.13096213522044,-3.3124151,1.3576417,0.8838774,-4.014799,3.065613,3.487993,-5.808906,-5.4679427,-5.5410757,2.9538667,2.015073,-8.290667,7.5937686,-3.408869
274.1705467265059,-4.8054304,1.9836318,3.9582498,-4.199462,1.6990082,2.9637022,-5.3307204,-4.552999,-5.2941127,2.4091804,-1.175992,-8.04114,17.72631,-2.938887
275.12535495048786,-4.5730767,1.1752844,4.1360655,-3.7107446,2.2103431,1.8178343,-5.173407,-3.9496462,-4.634071,2.83096,0.39771125,-7.127699,17.243984,-2.5054696
277.1046854722379,-1.6981834,1.0348188,3.415863,-0.0027985147,2.0669405,2.382902,-0.9024695,-2.7534611,0.8181554,2.9280262,0.5005117,-1.8329309,15.692366,1.7909899
277.1199314280742,-4.4216356,1.1288332,4.2352057,-3.6870613,1.7784234,1.5187103,-5.0670877,-4.4910145,-4.3863378,3.015391,-0.892004,-6.8596907,16.887718,-2.5766895
279.1918698917662,-4.318209,-2.8475916,-3.4313195,-3.3937068,2.229965,2.2269285,-4.749287,-4.1589293,-4.4971714,4.294089,0.87818944,-7.0697956,5.797902,-3.0727148
279.2543320460134,-4.4044075,1.2347295,2.9637876,-4.0198994,-0.5685793,3.49298,-4.8194695,-4.4062176,-4.479982,3.5122182,0.7288816,-7.3424153,13.401508,-2.9820971
283.1305129141175,-2.1352265,1.6629848,4.08797,-3.900452,1.4514109,2.658826,-5.5835295,-3.3947358,-4.840009,2.5978076,0.58556134,-7.2950444,16.90162,-2.7340257
293.1149201372592,-3.8609228,0.9481412,4.09953,-3.72339,1.9153017,2.3700325,-4.9829125,-4.394647,-4.580744,2.9466631,-1.1928473,-7.1669354,17.381378,-2.6946008
305.1568601303938,-0.3835374,1.5952405,3.0969477,1.6037266,-0.40742752,1.7222604,1.2266531,0.2224733,2.1017716,0.81010264,-2.0604603,3.054822,10.347073,3.1194932
313.2138117541359,-4.243752,1.4602292,4.153531,-3.7181685,1.7050105,2.1506493,-5.1173797,-4.2416754,-4.374898,2.878865,-1.2985396,-7.017739,17.473867,-2.3299031
317.11518519135484,-0.96346724,1.5905467,4.0125203,-1.1028866,1.1344225,2.757798,-0.6585822,-0.63439566,0.4182159,2.3363438,0.9883365,1.2911084,16.462116,-0.17420772
321.13096874610164,-0.15505578,-1.8311054,2.703958,1.5385567,1.6785231,1.1028987,0.4704299,-0.0019032424,1.9622793,2.4644115,-0.7525937,2.2206242,11.157589,2.889324
325.177311613809,-3.1706145,1.6167334,4.057331,-3.8170633,1.4205018,2.7234287,-4.077889,-4.501956,-4.3247094,2.5283623,0.048574045,-7.11187,16.87038,-2.258935
327.19299949538106,-3.9964974,0.33822444,3.9957006,-3.7272139,1.8661488,2.846084,-5.0613594,-4.603806,-4.8259435,3.0493472,-1.5921204,-7.2770634,17.468933,-2.9512734
331.20901611987676,-4.045971,1.8741559,3.995221,-3.4774108,1.429458,2.830293,-1.8249934,-4.7001915,-4.7485905,2.4107556,0.41426492,-7.4666166,16.72105,-1.9096644
349.18302226417984,0.16007698,0.3065663,1.9919,-1.6728463,-2.1464257,-0.94627535,2.260127,0.7828247,3.0378416,-2.1461387,-2.8181598,5.0889974,-1.8506138,2.5314217
365.1570478361734,0.8551138,-1.4607371,1.5387905,2.1246238,1.2348204,0.5730366,1.3577969,0.97171855,2.7286546,0.9056893,-1.8881744,5.6717415,6.384934,3.0622818
382.2223302420728,-4.2670083,1.259795,1.2561293,-3.9039533,2.6945305,1.9845047,-5.1494513,-4.9476347,-4.808549,4.0107875,0.41772568,-7.6016703,11.896776,-2.9211783
400.3421458375981,-4.074973,-4.4760566,-4.3670416,0.5791212,2.9557772,3.8840168,-5.59193,-4.7700915,-3.2725117,2.3871763,2.374666,-3.106677,0.6871271,-1.5812498
409.18336016445807,1.0440097,-0.093182735,-0.21156089,1.9645447,1.1928165,-2.5485516,1.5776298,1.3490416,3.0367055,-2.709848,-2.4897115,6.356368,-6.8553615,3.0505033
424.3420088682949,-1.4300181,-4.775508,-4.560315,-0.8538027,3.1424277,3.702808,-5.744846,-4.9306083,-3.5335095,2.4602225,2.8334565,-3.8609934,-0.27171373,-3.047234
427.36111282551303,-4.337306,-4.7599344,-3.7887504,-3.6503084,3.062788,3.9712331,-4.0901685,-4.7856317,-0.16341105,1.5807083,1.8361619,-3.4217753,0.46591902,-2.0926752
450.55301652070364,1.9623412,-4.0653358,-3.9523022,1.6679155,-4.0976634,-4.0131035,1.4886892,1.7288548,3.1758816,-3.9468744,-3.6952932,7.474086,-23.389166,-0.56312543
453.2095792347797,1.5857903,-0.75745106,-3.4090877,1.17985,-3.1931722,-3.4843152,1.7831981,1.5830386,3.2984629,-3.6710036,-3.9410527,6.83702,-16.561455,2.3446944
465.2283399515315,1.1212955,-2.1784751,1.4360964,3.012563,-2.0339172,-1.9407052,1.1999859,1.2881724,2.598502,-2.148676,-3.1598647,6.220887,-12.999599,3.742101
465.5631258867581,1.5595869,-4.508138,-4.0804725,2.7081747,-4.5159497,-4.1422634,1.6526448,1.6329314,3.0599163,-4.369744,-4.210605,7.299125,-24.98692,2.8701828
465.89656668656824,1.7131094,-4.473269,-3.9483237,2.051063,-4.169729,-4.066799,1.702072,1.8511918,3.2752652,-4.148242,-3.946771,7.5187054,-24.733358,0.8768656
470.5534619718108,1.7805471,-4.2817183,-4.0070143,1.617475,-4.0531263,-4.0024886,1.4090614,1.811496,3.284706,-4.2031612,-3.9262557,7.519288,-24.244383,-1.108013
478.92025987617245,2.1307285,-4.238453,-3.803814,-1.556848,-4.137158,-4.0274973,1.4242313,2.0777736,3.4862354,-4.175146,-3.9092221,6.9719725,-23.374683,-2.1825526
479.9038387582657,1.3565134,-4.763088,-4.0790043,3.2084212,-4.4659743,-4.189082,1.3931526,1.4929556,2.8055894,-4.070329,-4.1389985,6.558717,-25.278845,3.9821928
480.2392946824935,1.4238985,-4.3991795,-4.156255,3.1406145,-4.4614134,-4.28931,1.5069087,1.543493,2.887488,-4.2097282,-4.2281632,6.719901,-25.763966,3.7417958
480.571938125089,1.5990508,-4.486648,-3.9903033,2.6611164,-4.376423,-4.190816,1.6206242,1.7167972,3.114332,-4.1834435,-4.0754447,7.3405094,-25.022562,2.826686
480.90576653196075,1.7028581,-4.3723145,-3.9619164,1.1715949,-4.165581,-4.132396,1.7585413,1.9008417,3.2554662,-4.0378103,-3.744604,7.548965,-23.726254,-1.0518612
483.0757223974028,-4.7798057,0.30157912,4.3262334,-3.2799907,1.6909757,2.0220551,-5.601702,-3.9188175,-4.733121,2.4992926,-1.3465577,-7.271894,14.529862,-2.769559
485.2287549811139,1.5495722,-4.4519362,-3.6618266,2.6537468,-4.009622,-3.7433982,1.4309644,1.7430105,3.1118,-3.820992,-4.0111103,7.367671,-22.382538,2.468169
485.56335188492085,1.7893826,-4.4121614,-3.9350326,1.549089,-4.1473064,-4.06876,1.4994618,1.8274425,3.300625,-4.094031,-3.8291402,7.4453907,-23.574833,1.1314638
485.89639233200955,1.7506417,-4.158136,-3.906486,0.45645308,-4.064893,-4.0070176,1.3522958,2.0462856,3.3391674,-3.8966153,-3.4631999,7.272293,-23.451172,-1.6191657
488.2306001257723,1.6741623,-4.4036894,-3.8705466,-0.19510832,-3.9311223,-4.0641875,1.8057011,1.826558,3.5065687,-4.1742086,-4.221623,7.3317223,-23.9598,-1.4211484
492.92762636807333,1.7433813,-4.660525,-4.175039,2.503146,-4.469855,-4.245936,1.5561962,1.7970116,3.1747644,-4.2462516,-4.283594,7.4594116,-25.217855,2.2044594
